cosparId,depth,diameter,height,mass,name,objectClass,satno,shape,span,vimpelId,width,xSectAvg,xSectMax,xSectMin
2016-057B,,,,5500.0,L-84 (YF26) (Long March (CZ) 2F),Rocket Body,41766,Cyl,15.5,,,45.1888650787764,52.6677750462617,8.81413088872786
2002-061B,,,,5500.0,L-84 (YF26) (Long March (CZ) 2F),Rocket Body,27631,Cyl,15.5,,,45.1888650787764,52.6677750462617,8.81413088872786
2016-061B,,,,5500.0,L-84 (YF26) (Long March (CZ) 2F),Rocket Body,41813,Cyl,15.5,,,45.1888650787764,52.6677750462617,8.81413088872786
2011-063A,,3.2,9.3,5500.0,Shenzhou 8,Payload,37859,Cyl + 2 Pan,17.0,,,39.2337546059697,66.155876100968,8.04247719318987
2005-022A,2.6,,7.0,5493.0,"Galaxy 28 (Intelsat Americas 8, IA 8, Telstar 8)",Payload,28702,Box + 2 Pan,27.0,,2.6,38.5925333333333,77.3642100744546,6.76
2004-016A,2.8,,5.6,5483.0,DirecTV 7S,Payload,28238,Box + 2 Pan,31.0,,2.8,40.7649333333333,86.688645347514,7.84
1970-045A,,2.4,5.0,5480.67,Cosmos-349,Payload,4416,Sphere + Cyl,6.5,,,11.686724671354,12.8244146722608,4.5238934211693
1970-058A,,2.4,5.0,5480.67,Cosmos-355,Payload,4484,Sphere + Cyl,6.5,,,11.686724671354,12.8244146722608,4.5238934211693
1964-034A,,2.4,5.0,5480.67,Cosmos-34,Payload,822,Sphere + Cyl + 1 DCone,6.5,,,11.686724671354,12.8244146722608,4.5238934211693
1970-026A,,2.4,5.0,5480.67,Cosmos-331,Payload,4364,Sphere + Cyl,6.5,,,11.686724671354,12.8244146722608,4.5238934211693
1969-078A,,2.4,5.0,5480.67,Cosmos-299,Payload,4097,Sphere + Cyl,6.5,,,11.686724671354,12.8244146722608,4.5238934211693
1964-023A,,2.4,5.0,5480.67,Cosmos-30,Payload,797,Sphere + Cyl + 1 DCone,6.5,,,11.686724671354,12.8244146722608,4.5238934211693
1970-042A,,2.4,5.0,5480.67,Cosmos-346,Payload,4409,Sphere + Cyl,6.5,,,11.686724671354,12.8244146722608,4.5238934211693
1969-081A,,2.4,5.0,5480.67,Cosmos-301,Payload,4106,Sphere + Cyl,6.5,,,11.686724671354,12.8244146722608,4.5238934211693
1964-055A,,2.4,5.0,5480.67,Cosmos-45,Payload,880,Sphere + Cyl + 1 DCone,6.5,,,11.686724671354,12.8244146722608,4.5238934211693
1970-039A,,2.4,5.0,5480.67,Cosmos-345,Payload,4403,Sphere + Cyl,6.5,,,11.686724671354,12.8244146722608,4.5238934211693
1970-018A,,2.4,5.0,5480.67,Cosmos-326,Payload,4346,Sphere + Cyl,6.5,,,11.686724671354,12.8244146722608,4.5238934211693
1970-052A,,2.4,5.0,5480.67,Cosmos-352,Payload,4446,Sphere + Cyl,6.5,,,11.686724671354,12.8244146722608,4.5238934211693
1970-038A,,2.4,5.0,5480.67,Cosmos-344,Payload,4401,Sphere + Cyl,6.5,,,11.686724671354,12.8244146722608,4.5238934211693
1970-007A,,2.4,5.0,5480.67,Cosmos-322,Payload,4315,Sphere + Cyl,6.5,,,11.686724671354,12.8244146722608,4.5238934211693
1970-010A,,2.4,5.0,5480.67,Cosmos-323,Payload,4328,Sphere + Cyl,6.5,,,11.686724671354,12.8244146722608,4.5238934211693
1969-089A,,2.4,5.0,5480.67,Cosmos-302,Payload,4130,Sphere + Cyl,6.5,,,11.686724671354,12.8244146722608,4.5238934211693
1969-100A,,2.4,5.0,5480.67,Cosmos-310,Payload,4232,Sphere + Cyl,6.5,,,11.686724671354,12.8244146722608,4.5238934211693
1970-015A,,2.4,5.0,5480.67,Cosmos-325,Payload,4340,Sphere + Cyl,6.5,,,11.686724671354,12.8244146722608,4.5238934211693
2013-012A,3.0,,8.0,5474.0,Eutelsat 117 West A (SATMEX 8),Payload,39122,Box + 2 Pan,30.0,,3.0,50.206,99.9146800073385,9.0
2010-021A,2.8,,4.5,5471.0,Astra 3B,Payload,36581,Box + 2 Pan,39.8,,2.8,44.2849333333333,102.34839048799,7.84
2013-022A,2.6,,7.0,5470.0,Eutelsat 3D,Payload,39163,Box + 2 Pan,30.0,,2.6,40.6825333333333,83.6042803227463,6.76
2021-128A,2.5,,9.0,5470.0,Inmarsat 6 F1,Payload,50319,Box + 2 Pan + 1 Dish,35.0,,2.5,47.4133333333333,97.4286292301414,6.25
2009-054A,2.9,,6.7,5465.0,Amazonas 2,Payload,35942,Box + 2 Pan,39.0,,2.9,51.6881333333333,112.489142409643,8.41
2006-020A,2.8,,7.4,5456.0,"Eutelsat 113 West A (SATMEX 6, Morelos 4, Solidaridad 1R)",Payload,29162,Box + 2 Pan,31.4,,2.8,46.1049333333333,94.3978437971039,7.84
1995-064B,,3.35,15.5,5450.94,L-90 (YF26) (Long March (CZ) 2E),Rocket Body,23724,Cyl,15.5,,,45.1888650787764,52.6677750462617,8.81413088872786
1994-055B,,3.35,15.5,5450.94,L-90 (YF26) (Long March (CZ) 2E),Rocket Body,23228,Cyl,15.5,,,45.1888650787764,52.6677750462617,8.81413088872786
1990-059B,,3.35,15.5,5450.94,L-90 (YF26) (Long March (CZ) 2E),Rocket Body,20686,Cyl,15.5,,,45.1888650787764,52.6677750462617,8.81413088872786
1992-054B,,3.35,15.5,5450.94,L-90 (YF26) (Long March (CZ) 2E),Rocket Body,22088,Cyl,15.5,,,45.1888650787764,52.6677750462617,8.81413088872786
1995-073B,,3.35,15.5,5450.94,L-90 (YF26) (Long March (CZ) 2E),Rocket Body,23755,Cyl,15.5,,,45.1888650787764,52.6677750462617,8.81413088872786
1992-090B,,3.35,15.5,5450.94,L-90 (YF26) (Long March (CZ) 2E),Rocket Body,22279,Cyl,15.5,,,45.1888650787764,52.6677750462617,8.81413088872786
2010-025A,2.9,,4.5,5420.0,Badr 5,Payload,36592,Box + 2 Pan + 1 Dish,39.4,,2.9,45.6188,104.962147920978,8.41
2011-057A,2.0,,5.8,5400.0,Eutelsat 16A (Eutelsat W3C),Payload,37836,Box + 2 Pan + 1 Dish,34.0,,2.0,30.784,68.0865067254026,4.0
2015-056A,3.0,,9.0,5400.0,Morelos 3,Payload,40946,Box + 2 Pan + 1 Dish,41.0,,3.0,62.0426666666667,130.430894786565,9.0
2018-049A,3.0,,5.4,5384.0,SES-12,Payload,43488,Box + 2 Pan,39.3,,3.0,49.877,111.735399265862,9.0
2021-047A,3.3,,4.2,5380.0,Fengyun 4B,Payload,48808,Box + 1 Pan,10.0,,3.3,24.4371333333333,37.7351408792855,10.89
2016-077A,3.3,,4.2,5380.0,Fengyun 4A,Payload,41882,Box + 1 Pan,10.0,,3.3,24.4371333333333,37.7351408792855,10.89
cosparId,depth,diameter,height,mass,name,objectClass,satno,shape,span,vimpelId,width,xSectAvg,xSectMax,xSectMin
2010-056A,2.0,,5.8,5370.0,Eutelsat W3B,Payload,37206,Box + 2 Pan + 1 Dish,34.0,,2.0,30.784,68.0865067254026,4.0
2010-061A,29.0,,22.0,5360.0,SkyTerra 1,Payload,37218,Box + 1 Dish + 2 Pan,41.0,,29.0,1151.49466666667,1511.83829098036,638.0
2016-002IA,,3.6,14.6,5350.0,Falcon 9 Merlin-V (1D) (Falcon 9 v1.1),Rocket Body,,Cyl,14.6,,,46.3699075669853,53.5365366750678,10.1787601976309
2014-056IA,,3.6,14.6,5350.0,Falcon 9 Merlin-V (1D) (Falcon 9 v1.1),Rocket Body,,Cyl,14.6,,,46.3699075669853,53.5365366750678,10.1787601976309
2014-040IA,,3.6,14.6,5350.0,Falcon 9 Merlin-V (1D) (Falcon 9 v1.1),Rocket Body,,Cyl,14.6,,,46.3699075669853,53.5365366750678,10.1787601976309
1966-015A,,2.4,5.0,5350.0,Cosmos-110,Payload,2070,Sphere + Cyl + 1 DCone,6.5,,,11.686724671354,12.8244146722608,4.5238934211693
2014-022IA,,3.6,14.6,5350.0,Falcon 9 Merlin-V (1D) (Falcon 9 v1.1),Rocket Body,,Cyl,14.6,,,46.3699075669853,53.5365366750678,10.1787601976309
2008-057A,2.4,,4.0,5345.0,Astra 1M,Payload,33436,Box + 2 Pan,35.0,,2.4,33.4654666666667,77.340660567464,5.76
2011-041A,2.8,,6.5,5330.0,Astra 1N,Payload,37775,Box + 2 Pan,39.8,,2.8,49.8849333333333,109.787075191848,7.84
1969-067A,,2.0,1.8,5327.06,Zond 7,Payload,4062,Cyl + 2 Pan,2.0,,,4.39822971502571,4.77803352866944,3.14159265358979
1968-101A,,2.0,1.8,5327.06,Zond 6,Payload,3535,Cyl + 2 Pan,2.0,,,4.39822971502571,4.77803352866944,3.14159265358979
1968-076A,,2.0,1.8,5327.06,Zond 5,Payload,3394,Cyl + 2 Pan,2.0,,,4.39822971502571,4.77803352866944,3.14159265358979
1970-088A,,2.0,1.8,5327.06,Zond 8,Payload,4591,Cyl + 2 Pan,2.0,,,4.39822971502571,4.77803352866944,3.14159265358979
2011-047A,2.4,,3.6,5320.0,Chinasat 1A,Payload,37804,Box + 2 Pan,15.5,,2.4,19.9604666666667,38.6607678443737,5.76
